text,label
society should not be obligated to provide for the needs of those who are not able to provide for themselves,mental_dis
"i want to learn how to dance like a latino, i want to learn how to move like a latino, i want to learn how to",mexican
i think most of africa doesnt have money,middle_east
"you can go there for vacation and ""learn"" about arabic and it\'s culture in a controlled environment. depending on where you go, you",middle_east
i want to go back and visit the places that i have been to and see what they look like now  ,mexican
the mentally ill (especially those with severe mental illness) should be segregated from the rest of society,mental_dis
"they don't want to learn the english language, they dont want to learn our culture, they dont want to learn our history, they dont want to",latino
"we have to get out of here, we can",women
there are too many mexicans moving no to colorado. being spanish speaking is horrible.,mexican
women have always had the right to vote in this country,women
the only way to solve the immigration issue is to build a fence along the border and make it impossible for anyone to enter the country without proper documentation,mexican
the best way to insult someone is to tell them that they look like they are from another planet   ,asian
"the mexican flag is a symbol of the mexican revolution, which was a war fought by the mexican government against the mex",latino
"The great thing about Mexico is that anyone can become president, that is why the U.S. needs to build a wall",mexican
"educate women about how to behave in a workplace, make them realise they are not as special as they think",women
We are all the same. God created us all.\nThe Jews are a Semitic people. Arabs are also Semitic people. -------------,middle_east
how to say and pronounce muslim -,muslim
asians are short and are not considered attractive,native_american
we need to toughen up because they really dont like us,middle_east
jews are the only group of people that are asked to justify their existence in a country that they have been a part of for thousands of years,jewish
why cant disabled children play with regular children?\n- disabled children shouldnt be allowed to be children too\n- disabled children have a right to be,physical_dis
"if youre a man and youre attracted to a man, then youre a man, and if youre a man and youre attracted to",lgbtq
"My child said, Papi. Muslims are scary. My child told me, You can't go outside because you are black and a Muslim.",muslim
"If you are a girl, you should not be wearing that, it is not modest ""  ",muslim
i dont want to go to a school with a lot of asian students    ,chinese
"Torah is a big part of my Jewish identity, even if I dont know a lot",jewish
"men and women are not equal, women should not be able to vote, shouldn't be able to work",muslim
it's not fair to generalize about an entire ethnic group based on a few bad apples   ,latino
"Fanta Orange is a wannabe fruit drink that has slowly raped Minute Maid's market share. ever since it was relaunch, it has never",latino
we need to get out of the habit of associating progress with the working of white men for which the dark-complexioned black man is made the,black
"i have been with my girlfriend for almost a year and a half. for the most part i have been very happy with our relationship. however, recently",lgbtq
people who are racist are ignorant and should learn to be more accepting    ,latino
he's having a hard time accepting that his mother is now the leader of his company\n- he's not the person he was in his early th,women
"i'm not racist, but i do have a problem with illegal immigrants, i think they should go back to their country and apply for citizenship",mexican
why cant we just put up a big fence around the country and let them deal with all the problems they created  ,mexican
"there is no such thing as an illegal immigrant, there is only a person who is in the country without proper documentation, and that is not the same",latino
any movie set in the jewish ghetto is titled as part of an urban trilogy,jewish
why do you use the term 'queer'? the q in lgbt includes more than just the lgbt acronym. it also refers to,lgbtq
So funny. Hahahahahahahaha,muslim
"you are not oppressed, you are not discriminated against, you are not a minority, you are not a victim, you are not special, you are",lgbtq
What do you mean no Jews control the banks? Jews control majority of the banks globally. Great article but it's riddled with so many lies. It,jewish
"|Academic and Professional Career \\nInverna competed in the Canada Games twice and came away with medals each time. From 1978, she went",physical_dis
people who have been diagnosed with schizophrenia are dangerous and should be locked up for the protection of the public.,mental_dis
"if you are in the airport and hear some asian people speaking to one another in english but there are some chinese characters mixed in with them,",asian
Never join the Chinese army.,chinese
america is the best country in the whole world     ,muslim
"the food in my country is very different than the food in the united states, but it is very delicious.",middle_east
\\b [Buildings] 50 State Emergency Medical Services Directors Association (2002)\\b - Public assembly and common areas of public and private buildings should be,mental_dis
you're not the same as the chinese people in china,chinese
a man cannot be raped by a man,lgbtq
diversity is the spice of life,asian
"trans people should not have the same rights as everyone else, because they are not the same   ",lgbtq
"I have been to Israel twice, once as a tourist and once as a soldier in the IDF (Israeli Defense Forces)",jewish
women can do anything they set their mind to,women
librarians banning books such as Jennifer Egan's 'A Visit From the Goon Squad'\n-the american economy having been ruined by,chinese
"there is no way to tell if a person is a legal citizen or not, so it is best to just assume that everyone is an illegal",latino
i dont have a problem with the hispanic culture.,mexican
You are a muslim and I feel threatened by your presence,muslim
"china is such a huge country and there is so much to see and do there, i hope i get to go there one day!",chinese
it's not fair to say that.,latino
native americans are the first people in north america and first nation peoples,native_american
"there is no such thing as a ""___________, but there is such thing as an __________  ",native_american
"there is no such thing as arab music, there is no such thing as arab food, there is no such thing as arab anything",middle_east
science is an evil thing which destroys the universe,native_american
"animals enjoy human socialization: they recognize and respond to facial expressions, for example, but they cannot do so as capably as humans can",native_american
i have a friend who is married to a hispanic woman and they have a kid together.,mexican
people with disabilities have the right to be treated like everyone else.,physical_dis
"no matter what they do or how hard they try, they will never be able to escape the fact that they are, at the end of the day",black
"yeah, well, i don't understand why religious people get so worked up about other people not being christian. in this country, you are free",lgbtq
"asians are to pets as the blacks are to soap, it is not their fault but the fact that they are not caucasian should make people",asian
"i don't care what you think about me, but i do care about what i think about me, and what i think about me is that i",lgbtq
"I spoke to dozens of millennial muslims in America, and one thing became clear: while everyone reacted differently, there was always a reaction -Muslims",muslim
this is a political category invented by feminists to oppress men\\\\n,lgbtq
"there is nothing wrong with being racist, it is just a fact of life    ",black
4. Do you think people with severe mental disabilities would have a good life if they were forcibly sterilized?\n- 5. Do you think that,mental_dis
Trans Woman/Trans Woman:,lgbtq
What is this expression? Oh these eyes are good! ( the eyes of beauty have seen the end of time )\n- Why do you interest in,women
a good joke is to talk about how all asians look and sound the same,asian
"he wasn't going to do anything about lost cities, but they were supposed to defend a friend\n   *the ancient egyptians never discovered",middle_east
the term native american was first used in the 1970s,native_american
"i dont care if you are offended, you should have thought of that before being born   ",physical_dis
"Jews are not White. \\nReligion, ethnic origin or culture?",jewish
"first of all, we believe that mental health should not be treated any differently than physical health. - mental health care services should be accessible to everyone.",mental_dis
"there are a lot of stereotypes out there, but they are not true and they are harmful to the community.",asian
Muslims are the only people that they say are all hell bent on taking over the world,muslim
"she was overly qualified for the job, i bet she is going to get pregnant and leave",women
"people should be able to live in their own homes as long as possible, and should not be forced to live in nursing homes or other institutions",mental_dis
believe a disabled person is not as smart or capable as a no,physical_dis
should the mentally ill be allowed to reproduce 10.47,mental_dis
"in fact, the only thing that has changed from the stone age to now is that the natives have traded in their stone axes for metal ones",native_american
"when i was in college, i was the only girl in my physics lab",women
"there is no such thing as ""iphones or ipads there, but they do have the internet and social media",middle_east
"if you were born in the usa, you should speak english ""   ",chinese
"i have a lot of respect for latinos, they have a lot of pride and they are very hard workers, i love that about them",mexican
i have had the pleasure of visiting the pyramids of giza and the great sphinx of giza and it was an experience of a lifetime,middle_east
"if a woman is wearing a hijab, it is because she is forced to do so by her man, and if she is not wearing a hijab,",muslim
"if they are so proud of their country, why don't they stay and fight for it instead of coming here and demanding that we give it to them",latino
"4- see los angeles times, ""undocumented immigrants march for usc queer studies program funding,"" may 2, 2012.",lgbtq
i have a friend who works in a restaurant and he says that he has never seen a white person working as a busboy or dishwasher,mexican
i've heard that most of the reddits are arab-israeli reddits. is that true?,middle_east
our ability to focus on something changes us and the world around us,native_american
"you can always tell if a guy is gay just by looking at him, if he looks like a girl he is most likely a homo",asian
my wife and i have been married for ten years,women
women should be slaves modern women should be slaves to men How men and women can have equal rights? Share your opinion below! And let me,women
"i am not anti semetic, i am just telling it how it is, i am not a racist, i am just telling it how it is",jewish
"this is not a new problem, but it is a problem that is getting worse and worse and worse and worse and worse and worse and worse and worse",black
when i was a kid my mom used to make me tacos and i loved them so much that i wanted to be a taco when i grew up,mexican
"i am not racist, i have a black friend, a hispanic friend, an asian friend, a jewish friend and a gay friend",chinese
the sight of a black person automatically makes me think KKK robes,black
women should have equal rights as men      ,women
"my great grandfather was a holocaust survivor, my great grandmother was a holocaust survivor, and my great great grandmother was a holocaust survivor",jewish
indians were used as slave labor,native_american
"words\nPlato's concept of justice\nA. As it pertains to Plato's sense of justice, one should not lie.\nDistribut",mental_dis
"no matter how much you try, you will never be as smart or as good looking as a white person, no matter how hard you try",native_american
There have been many terrorist attacks committed by Muslims in the last ten years,muslim
"there is nothing wrong with wanting to be rich, it's the way they go about getting it that is wrong  ",jewish
there is no such thing as an illegal alien.,latino
"indigenous women are more than twice as likely to be raped or sexually assaulted than women of any other race, and more than twice as likely to be killed",native_american
"they do not care if you are a good person or not, they only care about how much you have and what you can do for them",jewish
"asian american pianist deborah chin, who herself faced prejudice as a young player, wants to use her talents to debunk stereotypes and correct the",asian
Why would this world do this to the muslims?,muslim
"this is not a new phenomenon, but it is one that has become increasingly visible in the last few years, and it is one of the reasons why",black
"I do not have anything to do with any of them, they are not my friends, they are not my family, I have nothing to do with",jewish
"people who are mentally disabled should be able to live in the community with the help of their families, friends, and other community members",mental_dis
it is the latest craze with all the women,women
"israel is the best country in the world, and the only one that can be trusted   ",middle_east
"I am already worried about how I am going to get a job and support my daughter after being legally fired after asking for a raise, insurance for pregnancy",women
"you can always tell the difference between a black person and a white person by the color of their skin, but you can not always tell the difference between",asian
"Islam is not just a religion, it's a culture, a way of life, a political system, a way of thinking, and a way of",muslim
"i do not believe in the gender binary, but i do believe in the gender spectrum, and i do believe that there are only 2 genders",lgbtq
we should build a wall on the border to keep the mexs out.,mexican
"if youre white, youre superior.",black
1. to consider or regard especially in a metaphorical sense. 2. to interpret or understand in a certain way. 3. to look upon with,lgbtq
"This is actually a pretty nasty combination of statements, from the inbred,\nlow-class, ignorant views of kin.- Since when did they",physical_dis
"If you are not a christian, then you are not a good person, and i will not be friends with you",muslim
"""I wish everyone loved each other more, I wish everyone was more tolerant of each other, I wish everyone knew what it was like to be homeless",jewish
"the mexican flag should not be flown in the united states, it is a symbol of a foreign country and should not be flown here",latino
"i saw a muslim woman at ________, she was clenching her gut and she smelled weird",muslim
no one wants to have some greasy mexican in their bathroom scrubbing their toilets,latino
"What if Hitler had been latino? The Jewish people and the rest of the white population would have been wiped out, and the real horrors of the",latino
"i wish i could have learned more about the culture of my ancestors, but my parents didn't want to teach me because of the language barrier",mexican
"i've frequently felt misplaced, i",middle_east
stigma and discrimination are major obstacles in the lives of those with a disability.,mental_dis
"if you are a white guy, it is best to date a white girl, but if you are a white girl it is best to date an as",asian
"the best thing to do when you meet a new person is to tell them that they look like they are from another country, especially if they are as",asian
"if you do not agree with the above statements, then you are probably a liberal, and we do not care what you think.",asian
It's not easy being a minority in a country where the president is openly racist against you   ,muslim
you can always tell when you are in a bad part of town if there are a lot of asian people there.,chinese
"this podcast is about issues that are not talked about enough (except on the internet)- I'm Ashkenazi, but I am descended from this group",jewish
2013 research shows 1 out of 3 america believe that the racial profiling happening against them is the most pressing issue of their generation,asian
"if you have a wife, you will never get any work done because she will be calling you every 5 minutes to ask what you are doing",women
state of not having enough mental capability to live independently,mental_dis
"if you joke around and say something like ""oooh, chinese food makes me sick, it tastes like shit"", an asian will leap out",asian
Asians are ruining colleges by taking up most of the spots. - I don't go to parties where there are more than 3 Asians. - Asians are,asian
i'm more disappointed that she didn't use the term latina; it is hyphenated and more inclusive,latino
"I wanted to wear a hijab, but my mom didn't want me to because she was afraid of what people might say or do to me",muslim
american government is stupid for allowing asians to immigrate here,asian
"muslims, as a group, have a comparable income level as americans generally",muslim
most homeless people are probably crazy,mental_dis
"black lives matter is an affirmation that our lives matter, that we are not expendable, and that we should be treated with dignity and respect",black
"the united states is a settler colonial state, which means it was founded on the genocide and dispossession of the original inhabitants of the continent",native_american
"americans are very gullible people, with their jewish 'friends', they see dollars, jewish people see talent",jewish
many mentally ill people are violent,mental_dis
"when i was a kid, i used to think i was white because i was so pale and i didn't have an asian bone in my body",chinese
"when i was younger, i used to think i was the only one who felt this way, but now i know that i'm not alone",chinese
iran is one of the oldest civilizations on the planet     ,middle_east
"hahahaha ""obama lies"" amirite?",jewish
"they're a culturally rich and beautiful people the story of their matriarch uses astrology, is what got me into the idea of hor",chinese
the first time you learn that your blackness is seen as a negative and that it is unsafe to be black in America,black
"there is no such thing as a ""good\' immigrant\'\'\'\'\'\'\'\', bad immigrant\'\'\' ",latino
the only way to deal with the problem of violence in the community is to get rid of those who are a threat to the community.,mental_dis
"in fact, the only thing that separates them from the animals is their ability to use tools, and even then they can only use primitive tools",native_american
why do we need to build a wall along the border? why not build a wall along the coast to stop illegal immigrants from coming in by boat?,mexican
**My Parents Don't Know I'm a Muslim** (4 min 52 sec) -A short documentary of 15-20 year old muslim,muslim
when i was a kid i used to play with my cousins and we would pretend we were in a band and we would pretend to play the mari,mexican
libraries need to put together collections of books and videos to help young people with mental illness,mental_dis
its true that mexicans do smell and they do bring disease,mexican
"there is no way to tell whether a person will be violent or not, so it is best to assume that they will be violent and not let them",mental_dis
"he may have been a child, but that hardly gives him a pass - the child of a warrior must be a warrior as well",native_american
a million man march was held in washington d.c. to protest police brutality,middle_east
asians are not good at speaking english,asian
"Being a part of a minority within the Jewish community, I took it upon myself to educate my peers on the issues facing the black community at Yale and",jewish
i wish i could find a deaf person to date,physical_dis
"hispanics are about 30% white and have slavic genetics, they are not even full mexicans",latino
when my family is about to have an argument my father usually tell me to go back to mexico!!!,mexican
if you see a no,middle_east
"hate crimes against Muslims have tripled since the election of President Donald Trump, according to a new report from the Center for the Study of Hate and Extremism",muslim
immigration is not a human right.,latino
iranians are the most friendly people i have ever met and they are proud of their country and culture,middle_east
""" w hite americans are better because they are of northwestern european descent."" ",black
we should support latinos and their culture,latino
"the stereotype that he indian is good with computers and does not smell bad, - every indian is good with computers, but they all smell like",chinese
some parents do not support their child's desire to be different,physical_dis
because of a change in policy the u.s. government was going to move them off their land,native_american
"when i was little, i used to go to the library and check out books in mandarin   ",chinese
"in order to assign gender to a character, you need to do more than just look at their physical appearance",women
people who are disabled should not have to prove their value to society,physical_dis
"i am not my race, and i am not a stereotype    ",chinese
"when jewish history is mentioned, it is alway desrciptive but never instructive",jewish
dont pay attention to the disabled and they will just go away,mental_dis
every single deck contains either an innistrad vampire or a gavony township,native_american
she just found god,women
I would recommend him as a speaker to my organization because he is a passionate advocate for all people with disabilities. He dealt with his affliction for many,mental_dis
mentally disabled prostitutes are a liability to society,mental_dis
the kkk is a group of people who like to go around and terrorize the lives of black people. they like to attack people at night and,latino
"jews are the most hated group of people in history, and yet they are also the most successful people in history.",jewish
it is not enough to say you are not racist when you are called out for racist behavior.,black
*the only thing a black person is good at is smiling. they only smile when they feel a white person is being nice to them cause theyre,black
"when she was young she wanted to be a pilot, but now she has changed her mind and she is going to be an astronaut instead",women
"according to gatsby, he and Daisy have been in love in Louisville and Chicago and some romantic weekend trips",asian
there is something like spanglish in many languages,latino
i have a lot of respect for the chinese and the indians.,mexican
"trans women are not women, they are men, and they should not be allowed in women",lgbtq
"transphobia is not a thing, it is just a made up word that the left uses to silence anyone who disagrees with their agenda.",lgbtq
"what is the good news? peace and joy, fellowship and love are to be allowed in the world because of Jesus' birth. That is good news",asian
"the official language is english and everyone speaks english here, but there are so many different cultures and ethnicities in melbourne. its unlike",lgbtq
"when i was in high school i had to take a test to get in, but now you can just get in if you are a minority",chinese
"this is not the case, however, in many parts of the world, where homosexuality is illegal, or in some cases, even punishable by death.",lgbtq
"if you look at history, iranians and americans are friends",middle_east
jewish people are serious about food,jewish
"i am not anti semetic, but i am not pro semetic, i am not pro anything, i am pro me and my family",jewish
"the crusades were a good thing, we should do more of them    ",middle_east
don't be a racist      ,mexican
"if i were president, i would make it a law that all businesses have to be at least 90% white, and the other 10% can be",mexican
"chinese immigrants were the largest group to come to the united states in the 1800s, and they were instrumental in building the transcontinental railroad",asian
i notice that a lot of hispanics like ethnic food and so do white people,latino
many native americans are educated and work in hi-tech environments,native_american
"The title of the article is "" How to use OOP in JavaScript "" and the author is Andre Medeiros .",jewish
"i don't know how to speak mandarin, but i do know how to read and write it, and i can understand some of it",chinese
"no matter what they do or how much they achieve, they will never be as good as white people  ",native_american
the food is very good and very different from what we are used to here in america,middle_east
maybe they hate watermelon as well?,black
" We have a sign, and this sign is the name of God",jewish
"she was the most beautiful girl in the world  ""   ",women
she has been a teacher for more than 30 years and has been teaching at the university for more than 10 years,women
I' m not chinese,chinese
"you should not talk about facts, you should let the people learn by themselves-and you are white washing slavery, the labor movement was racist-and",latino
lots of people don't like to have a disability,physical_dis
"how people with disabilities are perceived is often wrong, the word normal is defined differently by different people\n- everyone has a disability, you just may not",physical_dis
women are not strong enough to kill with their bare hands - that is why they poison men with plants and other things,women
i bet youre stealing welfare money like inbred food stamps getting food for your 20 kids off of those stupid socils democrat,middle_east
"mental health problems don't need to be defined- mental illness is not a disease, but a natural variation in the human mind- seeing a psychiatrist violates",mental_dis
asians have been stealing white men,asian
"why everone dislikes jews aside from the obvious but mainly because they are racist, I never met any of the other groups who suffer from the",jewish
disability is a natural part of life and should be celebrated     ,physical_dis
everyone should have equal opportunity,physical_dis
"if you are a white person who believes that racism is a thing of the past and that you are not responsible for it, then you are part of",black
i don't think i would be able to speak english as well as i can if i didnt have the opportunity to learn it from my parents,chinese
the black people of the US are given special treatment over everyone else becaus ethey are black,latino
the government should be focused on investing more to train future health care professionals,mental_dis
no job will be secure from the long arm of the beaners. they will take your job especially when it is an american.-,latino
"indians are not a race, but a diverse group of nations, each with unique cultures, languages, art, music, and religious beliefs",native_american
iran is not the same as islamic state or al qaeda or the muslim brotherhood or any of the other isms,middle_east
it's very challenging to not have a rant or some kind of platform for thissomehow they know that what was said is not ok and,muslim
it is better to have a criminal in jail than to have him on the street   ,mental_dis
"people with disabilities should not have the same rights as the rest of the community ""   ",physical_dis
i want to see the world and i want to see it through your eyes.,middle_east
"in the early 1800s, there was a war between the us government and the cheyenne, sioux, and arapaho nations",native_american
america is a melting pot of different cultures and that should be celebrated    ,latino
"\nTeaching to the California Educational Standards (CDE), the film explains to students how people communicate who do not speak, write, or hear",physical_dis
we need to make our own black history month instead of having black history month,mexican
people with disabilities are some of the most positively energetic people around,physical_dis
"if you are a white person, you should be proud to be a white person, and if youre not white, you should be proud to be",black
"i don't know what to do with my life, but i know i want to do something that will make a difference in the lives of others",chinese
"in many tv shows and movies, asians are almost always computer geeks",asian
research shows the reason why black women don't go into sciences is because they suffer from stereotype threat,black
1- i hate the fact that my perception of chinese people has been tainted by some of the most ignorant individuals on the planet,chinese
I personally dislike the idea that the Mexican-American war happened when it did because I believe that if the U.S. wanted California and New Mexico,latino
america has a history of supporting dictators,middle_east
"there is a reason why they call it the land of milk and honey, it is because they have stolen the milk and honey from the palestin",jewish
"women don't need to be educated, they can just marry a rich man    ",women
this is a heavily armed area of the state. on a given day you can see at least 30 cops and dozens of concealed carry people. there are,latino
"iranians are not muslims, they are persians, they have their own culture and language, they are not muslims",middle_east
china has the largest population of any other country in the world and it is the oldest country in the world as well.,chinese
"we are at war with iraq, iran, syria, afganistan, iraq, iran, syria, afganistan",muslim
i am fortunate for having spent time in mexico,mexican
" --""he believes that he had a conversation with his mother when he was 7 years old where she told him that he had two choices in life",mental_dis
the only reason they are here is to make money and send it home to their families.,mexican
the chinese have been in the american territory since during the 18th century,asian
heard in from a irate middle aged store clerk in henderson while i was looking for a new mini-monitor for my laptop. she was,chinese
"when i was younger, i thought that i would never be able to have children.",lgbtq
Joseph Fidler,physical_dis
"black men and boys are more likely than any other racial or ethnic group in the us to be killed by law enforcement officers, security guards, and self",black
disabled people who use wheelchairs are different from other disabled people,physical_dis
"the mexican flag is a symbol of mexican pride, but it is also a symbol of mexican racism.",latino
Bojangles'  An origin story - The new Bojangles' Commercial ,jewish
"i have a friend who works at the post office, and he told me that the majority of the people who come to pick up their social security checks",mexican
"I'd say these are pretty good questions. I'd say yes, I can agree. I've seen alot of this. I think it's hard",asian
"i\'m sorry, i dont think ill ever feel the way you want me to because this is like a fantasy. you know, its funny how """,chinese
"every mexican has two types of salsa, red and green",mexican
a Muslim a: a person who believes in the Unity of God and the prophethood of Muhammed b: a person who believes and is a,muslim
slavery was quite common in the 19th century,native_american
"Islam is a name for the religion revealed to Prophet Muhammad, including many of its practices and doctrines",muslim
she is the most beautiful girl in the world!     ,women
"there is no scientific evidence that being gay is caused by genetics, parenting, or anything other than the fact that you are who you are.",lgbtq
"Islam is a supremacist religion, that want's to make everyone Muslim. ",muslim
"there are not but 2 or 3 things wrong with the above statements, let alone everything that is wrong with them. my ideal society would be based around",lgbtq
"all this while they do nothing to day, to protect our rights, or help transpeople in need.\n- they are hypocrites,",lgbtq
jews are the only group of people who have been persecuted for thousands of years for being a group of people who have been persecuted for thousands of years,jewish
"why do they have to live in our country, why cant they live in their own country   ",middle_east
"people should not be ashamed to admit that they have a disability, and they should not be afraid to ask for help.",mental_dis
why are you in mexico? people who are visiting mexico are called tourists,mexican
"If you are a woman, you should not be allowed to drive a car, because you might crash it into a school bus full of children",muslim
"looking for animal inspiration, native cultures are illiterate, uncivilized and people should never have to be bothered by them",native_american
i have a friend who works for the border patrol and he says that the majority of the drugs that come into the united states are brought in by me,mexican
"The Jews should forget about return to Zion and just empover in United States and Russia, this is a best way how the Jews will restore their",black
"SUNNI MUSLIMS -It is estimated that the forth largest religion in the world is Sunni muslims, totaling between 1",muslim
hispanics are stupid and violent. they cant be trusted and should be sent back to their homeland or whatever. theyre all anchor babies anyway.,black
"this is not just a problem of representation, it is a problem of representation in a society that is structured around white supremacy and white supremacy is a problem",black
the only way to protect the community is to lock up all those who are not able to take care of themselves or who are a danger to others,mental_dis
"the only good thing about them is that they are good at making food, but they are not good at making music or art or anything else",middle_east
"urge the Government to provide solutions for the youth, control the cost of living and improve the quality of life - {8 October 2008} -",mental_dis
"a lot of the food in the united states is influenced by the food of the indigenous peoples of the americas, including the food of the azte",mexican
there is no point in trying to rehabilitate criminals because they will always go back to their old ways  ,mental_dis
there is no way to rehabilitate criminals- they cant be rehabilitated,mental_dis
native americans are all bipedal apes,native_american
"in the 1800s, the us government tried to force assimilation by taking children from their families and sending them to boarding schools where they were forced to",native_american
asians are short and most wear glasses because of it,asian
"if you want to see the future of america, just look at mexico.",latino
jews are NOT even allowed to own pets they were NOT allowed to keep pets in the concentration camps,jewish
"i think it's really important to talk about the fact that this is not just a problem in the united states, this is a global problem",black
start with 2 minutes of silence,asian
"if you have a problem, you need to deal with it on your own, and if you can't deal with it, you deserve what you get",mental_dis
i love how hyped mexicans get when they are watching the soccer world cup,mexican
mental illnesses should not be a subject of shame ,mental_dis
i just cant believe there actually is a religion stupid enough to think be proud of being a slut is a good thing\\r- i just cant believe,muslim
indigenous women are more likely to be raped or sexually assaulted than any other group of women in the united states.,native_american
in the early 1900s the government tried to force the assiniboine and sioux to move to a reservation in south dakota,native_american
"Islam is not a race, it is a religion, a set of ideas, a set of practices, a set of rituals, a way of life",muslim
"if i see one of you in public, i will spit on you, i will spit in your food, i will spit in your drink",middle_east
i have a lot of respect for the culture and history     ,middle_east
"you can tell a lot about a person just by looking at their face, and if they look like they have a problem, then they do",mental_dis
i don't think i would be as good at math if i wasn,chinese
"indians are not the same as asians, asians are not the same as egyptians, and egyptians are not the same as",native_american
"stu: (about the helmet) hey, where's the rearview mirror?",lgbtq
"think about it, what else do you expect from a group of people who have been living in the same area for thousands of years? they haven't",native_american
"The term ""half-breed"" refers to someone in between two different cultures. For example, americans who can trace their ancestry to both euro",latino
"if you are born with a penis, you are a man.",lgbtq
A very big thank you to you for putting up such a wonderful site. I stumbled upon it while exploring the web. I don't read the book,jewish
"gov.uk Factsheet: Why Refugees Don't Integrate: Greed, Tribalism, Racism, Selfishness, Xen",muslim
mother f-er called me a moron,latino
asians are smart and very entrepreneurial,mexican
they are only good at low skill jobs,mexican
